world_id,zone,true_effect,mlc_decision,mlc_reason_code,b2_decision,b3_decision,b4_decision,ground_truth_decision,defer_origin_classification
WORLD_CLEAR_ADMIT_SEED_2001,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2002,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,DEFER,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2003,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2004,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2005,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2006,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2007,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,DEFER,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2008,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2009,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2010,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2011,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2012,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2013,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,ADMIT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2014,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,REJECT,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_ADMIT_SEED_2015,CLEAR,0.35,ADMIT,SUFFICIENT_POSITIVE_PROSPECTIVE_EFFECT,ADMIT,DEFER,ADMIT,ADMIT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2016,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2017,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2018,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2019,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2020,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2021,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2022,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2023,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2024,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2025,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2026,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2027,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2028,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2029,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_CLEAR_REJECT_SEED_2030,CLEAR,-0.35,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2031,BOUNDARY,-0.08,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2032,BOUNDARY,-0.08,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,REJECT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2033,BOUNDARY,-0.08,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2034,BOUNDARY,-0.08,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,DEFER,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2035,BOUNDARY,-0.08,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,DEFER,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2036,BOUNDARY,-0.08,DEFER,AMBIGUOUS_PROSPECTIVE_EFFECT,REJECT,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
WORLD_BOUNDARY_-0.08_SEED_2037,BOUNDARY,-0.08,REJECT,SUFFICIENT_NEGATIVE_PROSPECTIVE_EFFECT,DEFER,ADMIT,REJECT,REJECT,OTHER_DEFER_MISMATCH
