date,prediction,conviction_score,allocation_pct,entry_price,exit_price,pnl,cumulative_capital,is_correct,calibrated_confidence,contradiction_pressure,empirical_confidence,principle_support,transition_pressure
2026-06-30,uncertain,0.0,0.0,0.0,0.0,0.0,1000000.0,False,0.0,0.0,0.0,0,0.0
2026-07-01,lower,0.5048,0.0856,1297.6011,1309.308,-857.88,999142.12,False,0.55,0.0,0.24,0,0.3567
2026-07-02,higher,0.4415,0.0774,1311.31,1302.1965,-614.8,998527.33,False,0.5,0.089,0.0,0,0.1567
2026-07-03,range_bound,0.4796,0.0823,0.0,0.0,0.0,998527.33,False,0.58,0.0937,0.0833,0,0.2133
2026-07-06,range_bound,0.4226,0.0749,0.0,0.0,0.0,998527.33,False,0.45,0.0962,0.0,0,0.1567
2026-07-07,higher,0.2114,0.0,0.0,0.0,0.0,998527.33,False,0.34,0.8923,0.0,0,0.2914
2026-07-08,higher,0.2852,0.0,0.0,0.0,0.0,998527.33,False,0.55,0.8923,0.05,0,0.3884
2026-07-09,lower,0.2584,0.0,0.0,0.0,0.0,998527.33,False,0.537,1.0,0.05,0,0.3954
2026-07-10,lower,0.26,0.0,0.0,0.0,0.0,998527.33,False,0.528,0.9817,0.05,0,0.3847
2026-07-13,higher,0.1813,0.0,0.0,0.0,0.0,998527.33,False,0.29,1.0,0.05,0,0.3019
