date,open,high,low,close,volume,daily_return_pct,rolling_volatility_10d,rolling_volatility_30d
2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,256100,0.3626,,
2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,208700,0.3818,0.0136,0.0136
2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,235200,-1.0296,0.8094,0.8094
2023-01-05,18101.94921875,18120.30078125,17892.599609375,17992.150390625,269900,-0.6066,0.7086,0.7086
2023-01-06,18008.05078125,18047.400390625,17795.55078125,17859.44921875,238200,-0.8252,0.6702,0.6702
2023-01-09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,257200,0.828,0.7668,0.7668
2023-01-10,18121.30078125,18127.599609375,17856.0,17914.150390625,283300,-1.1431,0.7946,0.7946
2023-01-11,17924.25,17976.349609375,17824.349609375,17895.69921875,259900,-0.1593,0.7371,0.7371
2023-01-12,17920.849609375,17945.80078125,17761.650390625,17858.19921875,227800,-0.3496,0.69,0.69
2023-01-13,17867.5,17999.349609375,17774.25,17956.599609375,256700,0.4987,0.6958,0.6958
2023-01-16,18033.150390625,18049.650390625,17853.650390625,17894.849609375,206200,-0.7669,0.6852,0.6816
2023-01-17,17922.80078125,18072.05078125,17886.94921875,18053.30078125,219100,0.7281,0.7316,0.7092
2023-01-18,18074.30078125,18183.75,18032.44921875,18165.349609375,255800,0.5037,0.7182,0.7045
2023-01-19,18119.80078125,18155.19921875,18063.75,18107.849609375,237800,-0.066,0.6984,0.677
2023-01-20,18115.599609375,18145.44921875,18016.19921875,18027.650390625,237200,-0.4855,0.6653,0.6593
2023-01-23,18118.44921875,18162.599609375,18063.44921875,18118.55078125,202500,0.0006,0.5927,0.6379
2023-01-24,18183.94921875,18201.25,18078.650390625,18118.30078125,216900,-0.361,0.4851,0.6201
2023-01-25,18093.349609375,18100.599609375,17846.150390625,17891.94921875,257200,-1.1131,0.5919,0.6433
2023-01-27,17877.19921875,17884.75,17493.55078125,17604.349609375,476300,-1.5262,0.7371,0.6953
2023-01-30,17541.94921875,17709.150390625,17405.55078125,17648.94921875,432400,0.61,0.7505,0.7047
2023-01-31,17731.44921875,17735.69921875,17537.55078125,17662.150390625,398300,-0.3908,0.7308,0.6878
2023-02-01,17811.599609375,17972.19921875,17353.400390625,17616.30078125,512900,-1.0965,0.6975,0.696
2023-02-02,17517.099609375,17653.900390625,17445.94921875,17610.400390625,490100,0.5326,0.7017,0.7004
2023-02-03,17721.75,17870.30078125,17584.19921875,17854.05078125,424100,0.7465,0.7854,0.7139
2023-02-06,17818.55078125,17823.69921875,17698.349609375,17764.599609375,282500,-0.3028,0.7829,0.6992
2023-02-07,17790.099609375,17811.150390625,17652.55078125,17721.5,354400,-0.3856,0.7765,0.686
2023-02-08,17750.30078125,17898.69921875,17744.150390625,17871.69921875,291000,0.6839,0.8394,0.6943
2023-02-09,17885.5,17916.900390625,17779.80078125,17893.44921875,260900,0.0444,0.781,0.6826
2023-02-10,17847.55078125,17876.94921875,17801.0,17856.5,232000,0.0501,0.6015,0.6715
2023-02-13,17859.099609375,17880.69921875,17719.75,17770.900390625,231300,-0.4939,0.5883,0.6626
2023-02-14,17840.349609375,17954.55078125,17800.05078125,17929.849609375,244500,0.5017,0.6003,0.6669
2023-02-15,17896.599609375,18034.099609375,17853.80078125,18015.849609375,229300,0.6663,0.4802,0.677
2023-02-16,18094.75,18134.75,18000.650390625,18035.849609375,230200,-0.3255,0.4916,0.6576
2023-02-17,17974.849609375,18034.25,17884.599609375,17944.19921875,208100,-0.1705,0.4447,0.6516
2023-02-20,17965.55078125,18004.349609375,17818.400390625,17844.599609375,174600,-0.6732,0.4885,0.6464
2023-02-21,17905.80078125,17924.900390625,17800.30078125,17826.69921875,198200,-0.4418,0.4936,0.6238
2023-02-22,17755.349609375,17772.5,17529.44921875,17554.30078125,204000,-1.1323,0.5395,0.6232
2023-02-23,17574.650390625,17620.05078125,17455.400390625,17511.25,240800,-0.3607,0.5345,0.6244
2023-02-24,17591.349609375,17599.75,17421.80078125,17465.80078125,209400,-0.7137,0.5433,0.6316
2023-02-27,17428.599609375,17451.599609375,17299.0,17392.69921875,246400,-0.206,0.5403,0.6187
2023-02-28,17383.25,17440.44921875,17255.19921875,17303.94921875,420900,-0.4562,0.4649,0.6114
2023-03-01,17360.099609375,17467.75,17345.25,17450.900390625,272900,0.523,0.4299,0.6019
2023-03-02,17421.5,17445.80078125,17306.0,17321.900390625,310700,-0.5717,0.4325,0.5908
2023-03-03,17451.25,17644.75,17427.69921875,17594.349609375,356200,0.82,0.5832,0.6207
2023-03-06,17680.349609375,17799.94921875,17671.94921875,17711.44921875,362800,0.1759,0.5881,0.622
2023-03-08,17665.75,17766.5,17602.25,17754.400390625,267000,0.5018,0.6259,0.6336
2023-03-09,17772.05078125,17772.349609375,17573.599609375,17589.599609375,262400,-1.0266,0.608,0.6522
2023-03-10,17443.80078125,17451.5,17324.349609375,17412.900390625,235900,-0.1771,0.603,0.6281
2023-03-13,17421.900390625,17529.900390625,17113.44921875,17154.30078125,254900,-1.536,0.7355,0.6289
2023-03-14,17160.55078125,17224.650390625,16987.099609375,17043.30078125,290600,-0.6833,0.7516,0.619
2023-03-15,17166.44921875,17211.349609375,16938.900390625,16972.150390625,248200,-1.1319,0.8016,0.6414
2023-03-16,16994.650390625,17062.44921875,16850.150390625,16985.599609375,349800,-0.0533,0.7544,0.6202
2023-03-17,17111.80078125,17145.80078125,16958.150390625,17100.05078125,408100,-0.0687,0.7561,0.6057
2023-03-20,17066.599609375,17066.599609375,16828.349609375,16988.400390625,241800,-0.4582,0.6417,0.5797
2023-03-21,17060.400390625,17127.69921875,17016.0,17107.5,246700,0.2761,0.6532,0.5874
2023-03-22,17177.44921875,17207.25,17107.849609375,17151.900390625,0,-0.1487,0.5774,0.5868
2023-03-23,17097.400390625,17205.400390625,17045.30078125,17076.900390625,219200,-0.1199,0.5565,0.5619
2023-03-24,17076.19921875,17109.44921875,16917.349609375,16945.05078125,228000,-0.768,0.5604,0.567
2023-03-27,16984.30078125,17091.0,16918.55078125,16985.69921875,218400,0.0082,0.4317,0.5662
2023-03-28,17031.75,17061.75,16913.75,16951.69921875,238800,-0.47,0.4165,0.5659
2023-03-29,16977.30078125,17126.150390625,16940.599609375,17080.69921875,345900,0.609,0.3901,0.5713
2023-03-31,17210.349609375,17381.599609375,17204.650390625,17359.75,263900,0.8681,0.5006,0.5838
