date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d
2023-01-02,1164.066351583663,1177.3048023328713,1163.244668797144,1175.8896484375,5316175,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,1.0157,,,,5316175.0,5316175.0,1.0,1.0,normal,14.06,1.1957,,,,,,
2023-01-03,1170.9366586985077,1174.565828259546,1163.0621480210025,1167.28466796875,7658932,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.3119,,,,6487554.0,6487554.0,1.1806,1.1806,elevated,11.5,0.9855,-4.95,-0.4212,,,0.9388,0.9388
2023-01-04,1167.26185070999,1169.1107276232435,1147.6325061253483,1149.7095947265625,9264891,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.5037,,,,7413333.0,7413333.0,1.2498,1.2498,elevated,21.48,1.8681,-0.02,-0.002,,,1.2603,1.2603
2023-01-05,1151.969198619059,1157.858025867488,1143.0674942432397,1147.6552734375,13637099,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.3745,-2.4011,,,8969274.0,8969274.0,1.5204,1.5204,spike,14.79,1.2888,2.26,0.1965,,,1.0305,1.0305
2023-01-06,1153.4072395784428,1163.1306272948216,1149.5955006159752,1158.0863037109375,6349597,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,0.4057,-0.788,,,8445339.0,8445339.0,0.7518,0.7518,dry,13.54,1.1687,5.75,0.5012,15.73,,0.9456,0.9456
2023-01-09,1161.9207528429104,1187.8041821914996,1161.0306065888913,1185.4302978515625,10722753,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,2.0233,3.1069,0.8114,,9526654.0,8824908.0,1.1256,1.2151,elevated,26.77,2.2586,3.83,0.3311,18.86,,1.2269,1.2269
2023-01-10,1189.6302560157692,1189.6302560157692,1162.240505708343,1167.9010009765625,8047142,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.8266,1.7641,0.0528,,9604296.0,8713798.0,0.8379,0.9235,dry,27.39,2.3452,4.2,0.3543,21.77,,1.3588,1.3588
2023-01-11,1165.2077656913489,1167.7184566325625,1150.873655990327,1153.1790771484375,11509553,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.0323,-0.4237,0.3018,,10053229.0,9063268.0,1.1449,1.2699,elevated,16.84,1.4607,-2.69,-0.2306,20.88,,1.3021,1.3021
2023-01-12,1152.5855061360771,1156.077627831873,1125.2641003718309,1128.2769775390625,17688773,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-2.109,-4.8213,-1.6885,,10863564.0,10021657.0,1.6283,1.7651,spike,30.81,2.731,-0.59,-0.0515,24.08,,1.3742,1.3742
2023-01-13,1122.2513519945564,1128.8705782042637,1111.386784310048,1126.451171875,20618583,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,0.3742,-3.5491,-2.7317,,13717361.0,11081350.0,1.5031,1.8607,spike,17.48,1.5521,-6.03,-0.5341,24.49,,1.3192,1.3192
2023-01-16,1128.7791493112115,1131.951774613395,1107.917221092014,1115.723388671875,13623855,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.1566,-3.248,-5.8803,-5.1167,14297581.0,11312487.0,0.9529,1.2043,normal,24.03,2.1542,2.33,0.2067,23.35,,1.2493,1.2759
2023-01-17,1122.0686670526488,1133.481062404078,1118.6906511572718,1131.5638427734375,10751000,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,0.8462,0.2913,-3.1113,-3.0602,14838353.0,11265696.0,0.7245,0.9543,dry,14.79,1.3071,6.35,0.5687,21.42,,1.3253,1.2693
2023-01-18,1129.144430635729,1137.178689301756,1123.1414974309205,1129.692138671875,13448286,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,0.0485,0.2877,-2.0367,-1.7411,15226099.0,11433588.0,0.8832,1.1762,dry,14.04,1.2426,-2.42,-0.2138,20.83,,1.2763,1.2192
2023-01-19,1128.8705038207283,1132.6366004638107,1121.4524163802744,1128.4825439453125,11940054,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.0344,1.1436,0.0182,-1.6706,14076356.0,11469764.0,0.8482,1.041,dry,11.18,0.9911,-0.82,-0.0727,16.9,19.15,1.278,1.1732
2023-01-20,1129.8291140692525,1129.8291140692525,1112.596474928504,1115.0615234375,14930286,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.3071,-1.4584,-1.0111,-3.7152,12938696.0,11700465.0,1.1539,1.276,elevated,17.23,1.5454,1.35,0.1193,16.85,19.38,1.2956,1.1624
2023-01-23,1117.960395115449,1125.8120854761514,1107.0044217374414,1109.423828125,10954118,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.7636,-1.7941,-0.5646,-6.4117,12404749.0,11653819.0,0.8831,0.94,dry,18.81,1.6953,2.9,0.26,15.8,19.8,0.9715,1.1282
2023-01-24,1113.851719292168,1115.51790607312,1089.8171651533376,1102.873046875,16488755,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.9856,-2.2694,-2.5355,-5.5679,13552300.0,11938227.0,1.2167,1.3812,elevated,25.7,2.3303,4.43,0.3991,17.39,20.1,0.8962,1.103
2023-01-25,1101.275205877952,1102.3022790893294,1086.4618542855478,1087.6258544921875,12385018,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.2394,-2.4605,-3.7237,-5.6846,13339646.0,11963048.0,0.9284,1.0353,normal,15.84,1.4564,-1.6,-0.1449,17.87,20.22,0.9093,1.0885
2023-01-27,1088.4706538388857,1089.817223588686,1055.260418546103,1066.992431640625,25830975,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.9732,-3.8246,-5.4489,-5.4317,16117830.0,12692939.0,1.6026,2.0351,spike,34.56,3.2387,0.84,0.0777,22.54,21.58,0.8855,1.1147
2023-01-30,1064.4132886312711,1082.764407064242,1050.3987961919847,1077.218017578125,21772103,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,1.203,-2.3262,-3.3938,-4.3706,17486194.0,13146897.0,1.2451,1.6561,elevated,32.37,3.0046,-2.58,-0.2417,25.57,21.77,1.0177,1.1514
2023-01-31,1087.3749062182635,1089.9541811505658,1068.6585300710096,1074.5245361328125,22691594,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.1818,-1.2046,-3.1457,-3.6926,19833689.0,14015668.0,1.1441,1.619,elevated,21.3,1.9819,10.16,0.9429,26.07,21.34,1.0195,1.134
2023-02-01,1086.439272024598,1086.439272024598,1052.224782493373,1068.1566162109375,19347800,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-1.6828,0.1091,-3.1478,-5.6035,20405498.0,14600112.0,0.9482,1.3252,normal,34.21,3.2031,11.91,1.1088,27.77,22.56,0.949,1.1365
2023-02-02,1058.1591593362568,1071.8540341073915,1054.9637127057106,1062.244873046875,13662663,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,0.3861,-1.39,-2.3336,-5.9704,20661027.0,14820000.0,0.6613,0.9219,dry,16.89,1.5901,-10.0,-0.936,27.86,21.57,0.9874,1.1265
2023-02-03,1072.3105805967243,1072.3105805967243,1046.7467660021257,1063.1806640625,24699575,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.8514,-1.0557,-0.3572,-5.7867,20434747.0,15373124.0,1.2087,1.6067,elevated,25.56,2.4045,10.07,0.9476,26.07,22.15,0.9541,1.1043
2023-02-06,1056.7896118119152,1059.528634971871,1052.5899131464937,1055.1690673828125,14837879,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.1533,-1.2159,-2.0468,-5.3712,19047902.0,15797538.0,0.779,0.9393,dry,6.94,0.6576,-6.39,-0.6011,21.71,21.19,0.9611,1.0833
2023-02-07,1055.4201633910932,1062.4501695052957,1046.7466710224398,1052.635498046875,15135435,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,-0.2638,-0.9046,-2.0371,-5.1187,17536670.0,16018172.0,0.8631,0.9449,dry,15.7,1.4918,0.25,0.0238,20.59,21.04,0.9717,1.0623
2023-02-08,1055.8766387784026,1077.2863960062462,1053.137736379797,1073.6572265625,21160332,yfinance:RELIANCE.NS,2026-05-28T12:56:04.206543,1.684,0.9854,0.515,-2.6491,17899177.0,16673832.0,1.1822,1.2691,elevated,24.15,2.2492,3.24,0.3079,18.68,21.8,1.2133,1.1217
