date,open,high,low,close,volume,source,downloaded_at,daily_return_pct,return_3d,return_5d,return_10d,avg_5d_volume,avg_20d_volume,volume_ratio_5d,volume_ratio_20d,volume_state,range_points,range_pct,gap_points,gap_pct,atr_5,atr_14,rolling_volatility_10d,rolling_volatility_30d,sector_close,sector_rs_ratio,sector_zscore,sector_percentile,delivery_pct,delivery_pct_5d,fii_net,dii_net
2023-01-02,2893.1611057917276,2898.3513158512633,2870.271287393365,2893.560302734375,709547,yfinance:TCS.NS,2026-06-29T13:24:40.049049,0.0138,,,,709547.0,709547.0,1.0,1.0,normal,28.08,0.9704,,,,,,,28737.30078125,0.10069005174704207,0.0,1.0,51.97371322408986,51.97371322408986,-1549.7654730546974,-44.56889198941762
2023-01-03,2885.176105207512,2945.505740863758,2879.2319050146616,2937.83154296875,1245178,yfinance:TCS.NS,2026-06-29T13:24:40.049049,1.825,,,,977362.0,977362.0,1.274,1.274,elevated,66.27,2.2559,-8.38,-0.2898,,,1.2807,1.2807,28962.30078125,0.10143640055249625,0.7071067811865475,1.0,46.893885590630525,49.4337994073602,542.6804033275022,-1044.0161388968909
2023-01-04,2933.705589035318,2952.0264076914345,2915.517980403362,2940.7587890625,1231668,yfinance:TCS.NS,2026-06-29T13:24:40.049049,0.2404,,,,1062131.0,1062131.0,1.1596,1.1596,elevated,36.51,1.2415,-4.13,-0.1404,,,0.9868,0.9868,28677.80078125,0.1025447805950732,1.0583650291943,1.0,53.18150830480554,50.68303570650864,1353.035802563644,343.6366682943155
2023-01-05,2954.55477293235,2960.853982507191,2911.7473529923486,2937.609375,1826057,yfinance:TCS.NS,2026-06-29T13:24:40.049049,-0.5735,1.5223,,,1253112.0,1253112.0,1.4572,1.4572,elevated,49.11,1.6717,13.8,0.4691,,,1.0248,1.0248,28527.75,0.102973749244157,1.0212805653390475,1.0,60.184238851264205,53.058336492697535,-52.43603652138985,-980.432582186749
2023-01-06,2927.7619103837324,2929.1371146013744,2839.041852493316,2849.2890625,2488376,yfinance:TCS.NS,2026-06-29T13:24:40.049049,-2.6803,-3.0139,,,1500165.0,1500165.0,1.6587,1.6587,spike,90.1,3.162,-9.85,-0.3352,55.71,,1.6298,1.6298,27956.44921875,0.10191884671065529,0.006749190135486473,0.6,46.12677300221331,51.67202379460069,1181.3207869512319,-606.2676896788757
2023-01-09,2864.7703415409696,2951.7159883266663,2857.805731152668,2945.461181640625,2885060,yfinance:TCS.NS,2026-06-29T13:24:40.049049,2.8167,0.1599,1.7937,,1935268.0,1730981.0,1.4908,1.6667,elevated,93.91,3.1883,15.48,0.5433,70.58,,1.9176,1.9176,28748.150390625,0.10245741522909116,0.5429244470916208,0.6666666666666666,54.13947783322327,52.105176716427366,-870.0433305682933,-375.1031881369534
2023-01-10,2914.4533185787127,2925.9869237968323,2865.746103182856,2915.6953125,3864655,yfinance:TCS.NS,2026-06-29T13:24:40.049049,0.0426,-0.746,-0.7535,,2459163.0,2035792.0,1.5715,1.8984,spike,60.24,2.0661,-31.01,-1.0527,73.26,,1.7527,1.7527,28502.69921875,0.10229541034422315,0.3244483396441776,0.5714285714285714,44.24420491252038,51.575240580805335,10.504169176824663,-228.33055521316248
2023-01-11,2918.978313377468,2971.6779339396694,2902.1656914177715,2953.22412109375,2720512,yfinance:TCS.NS,2026-06-29T13:24:40.049049,1.1732,3.6478,0.4239,,2756932.0,2121382.0,0.9868,1.2824,normal,69.51,2.3538,3.28,0.1126,79.87,,1.6558,1.6558,28596.349609375,0.10327276598008747,1.2856434515147226,1.0,52.34048034868772,51.40703498958178,455.00144427338165,1547.0050546201326
2023-01-12,2953.4909387502744,2972.1221522419405,2941.5581334295275,2958.237548828125,2250391,yfinance:TCS.NS,2026-06-29T13:24:40.049049,0.1607,0.4338,0.7022,,2841799.0,2135716.0,0.7919,1.0537,dry,30.56,1.0332,0.27,0.009,76.16,,1.5503,1.5503,28720.30078125,0.10300162144399982,0.864022707206152,0.8888888888888888,44.2926584575003,48.228718910828995,-258.02698550262426,1304.470066763827
2023-01-13,2965.8223193412623,2997.8503424610212,2932.1975086811703,2993.90234375,1742837,yfinance:TCS.NS,2026-06-29T13:24:40.049049,0.9468,2.6823,5.0754,,2692691.0,2096428.0,0.6472,0.8313,dry,65.65,2.1929,7.58,0.2564,69.57,,1.4743,1.4743,28933.75,0.10347439733010758,1.2352570598562256,1.0,44.27416197143795,47.85819670467392,635.1634881228921,-585.5593478106899
